,comment,time
0,"Cons first:
1. Bad Switches, mine started double clicking before an year of daily use.
2. Not ideal for big hands or palm grip.

Pros:
1. G Hub is decent with useful features, I don't use it though
2. Battery life is good, single battery lasts for months
3. Service is good with good warranty for 2 years and instant replacement if there's any fault
4. Zero lags, performance is ideal for gaming and regular use.

Overall, this would've been a good mouse had Logitech used decent switches, all Logitech mouse tend to double click after a while and yet they've refused to switch to a different switch.",Reviewed in India on 29 December 2022
1,"Works like a charm. Customising dpi, onboard memory and quick switching works great.",Reviewed in India on 30 January 2023
2,Good Mouse,"Reviewed in India on January 30, 2023"
3,"The sensitivity of the left mouse button click becomes too much. You'll have to configure the dpi cycle and settings of double-click speed to tone the click sensitivity overall. It may accidentally close extra browser tabs and other applications as well.
I'm finding it difficult to use this mouse casually whenever I boot my pc.","Reviewed in India on January 27, 2023"
4,"The USB receiver started disconnecting randomly first and then stopped working

Update: got a replacement under warranty within 3 days which is working fine.","Reviewed in India on January 26, 2023"
5,"The sides buttons are gonna fail eventually, but its a good thing logitech provides 2 years of warranty","Reviewed in India on January 26, 2023"
6,Perfect mouse in the market for all purposes. I suggest going with it if you are confused about which product is good in the market and don't want to give it much thought.,"Reviewed in India on January 21, 2023"
7,"i thought its a good mouse but it is not, cheaper product works for years but this one only 13 months","Reviewed in India on January 20, 2023"
8,It's been around one and half years yet this mouse is working perfectly fine. Haven't faced any issues with. Fits my large hands perfectly.,"Reviewed in India on January 19, 2023"
9,Within days of receiving the product it started freezing every other second. Can't move the cursor around without it stopping completely and then skipping around after a second. Got a new replacement mouse but the issue still persists. Can't find any solutions online either.,"Reviewed in India on January 16, 2023"
10,"Cons first:
1. Bad Switches, mine started double clicking before an year of daily use.
2. Not ideal for big hands or palm grip.

Pros:
1. G Hub is decent with useful features, I don't use it though
2. Battery life is good, single battery lasts for months
3. Service is good with good warranty for 2 years and instant replacement if there's any fault
4. Zero lags, performance is ideal for gaming and regular use.

Overall, this would've been a good mouse had Logitech used decent switches, all Logitech mouse tend to double click after a while and yet they've refused to switch to a different switch.",Reviewed in India on 29 December 2022
11,"Works like a charm. Customising dpi, onboard memory and quick switching works great.",Reviewed in India on 30 January 2023
12,Good Mouse,"Reviewed in India on January 30, 2023"
13,"The sensitivity of the left mouse button click becomes too much. You'll have to configure the dpi cycle and settings of double-click speed to tone the click sensitivity overall. It may accidentally close extra browser tabs and other applications as well.
I'm finding it difficult to use this mouse casually whenever I boot my pc.","Reviewed in India on January 27, 2023"
14,"The USB receiver started disconnecting randomly first and then stopped working

Update: got a replacement under warranty within 3 days which is working fine.","Reviewed in India on January 26, 2023"
15,"The sides buttons are gonna fail eventually, but its a good thing logitech provides 2 years of warranty","Reviewed in India on January 26, 2023"
16,Perfect mouse in the market for all purposes. I suggest going with it if you are confused about which product is good in the market and don't want to give it much thought.,"Reviewed in India on January 21, 2023"
17,"i thought its a good mouse but it is not, cheaper product works for years but this one only 13 months","Reviewed in India on January 20, 2023"
18,It's been around one and half years yet this mouse is working perfectly fine. Haven't faced any issues with. Fits my large hands perfectly.,"Reviewed in India on January 19, 2023"
19,Within days of receiving the product it started freezing every other second. Can't move the cursor around without it stopping completely and then skipping around after a second. Got a new replacement mouse but the issue still persists. Can't find any solutions online either.,"Reviewed in India on January 16, 2023"
20,Its a good mouse but after 2 years it has started to have the double click issue. I am moving away from Logitech for now.,Reviewed in India on 29 December 2022
21,"It does everything it says on the tin. It's lightweight, the sensor is excellent, it runs off AA batteries.

Not only that, but it's a good mouse if you travel around a lot. As of writing this review, I've used this daily for 12-18 hours without charging.

The downsides I can find with this is that the software for it is confusing. Also, something to note is that you need to register the product on the website to claim your warranty, and they won't let you upload a receipt. So make sure you keep the invoice in a PDF (you can get one from Amazon orders page) somewhere safe like a cloud storage. Otherwise, you might have a terrible time if you want to claim warranty.",Reviewed in India on 30 January 2023
22,Really disappointed with the double click issue.,"Reviewed in India on January 11, 2023"
23,IT HAS GOT DOUBLE CLICK ISSUES. Just letting the guys know. Started facing the double click issues after about 4-5 months. Haven't got the time to exchange it but surely before the warranty. Logitech's cheap mouse are really not worth it.,"Reviewed in India on January 10, 2023"
24,The built quality is poor to its price. The size is also big for anyone having small to medium size palm.,"Reviewed in India on January 9, 2023"
25,"Been using for 6 months. Average 2 - 2.30 hours FPS gaming per day, changed battery only twice.

Sensor - awesome

No click issue whatsoever, glides accross rubber pad no friction.

Weight was a lil bit issue, what I did was change the AA to AAA with a converter (online pricy local cheap). It went from 99 grams to 76 grams, huge difference for me as low sense user.","Reviewed in India on January 9, 2023"
26,Mine came with a manufacturing defect the right click button wouldn't work. I had to open the mouse and reattach all the wires . Not worth the money,"Reviewed in India on January 9, 2023"
